Название продукта;Ссылка на продукт;Банк;Изображение карты
Райфкарта + Visa Gold;https://minfin.com.ua//cards/card/view/rajfkarta-visa-gold;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-gold.png
Райфкарта + Visa Gold;https://minfin.com.ua//cards/card/view/rajfkarta-visa-gold;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-gold.png
Райфкарта Visa Reward;https://minfin.com.ua//cards/card/view/rajfkarta-visa-reward;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-reward.png
Просто Карта;https://minfin.com.ua//cards/card/view/prosto-karta;Таскомбанк;https://minfin.com.ua//cimgs/cards/prosto-karta.png
«Кредобра+»;https://minfin.com.ua//cards/card/view/kredobra-620319137;Кредобанк;https://minfin.com.ua//cimgs/cards/kredobra-620319137.png
«Кредобра»;https://minfin.com.ua//cards/card/view/kredobra;Кредобанк;https://minfin.com.ua//cimgs/cards/kredobra.png
Elite;https://minfin.com.ua//cards/card/view/elite;Кредобанк;https://minfin.com.ua//cimgs/cards/elite.png
UnexSmart;https://minfin.com.ua//cards/card/view/unexsmart;Юнекс Банк;https://minfin.com.ua//cimgs/cards/unexsmart.png
Мобильный капитал;https://minfin.com.ua//cards/card/view/mobilny-j-kapital;МТБ Банк;https://minfin.com.ua//cimgs/cards/mobilny-j-kapital.png
"Виртуальная карта ""Visa Virtuon""";https://minfin.com.ua//cards/card/view/virtualnaya-karta-visa-virtuon;МТБ Банк;https://minfin.com.ua//cimgs/cards/virtualnaya-karta-visa-virtuon.png
"Карта для моряков ""Platinum""";https://minfin.com.ua//cards/card/view/karta-dlya-moryakov-platinum;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-moryakov-platinum.png
"Карта для моряков ""Gold""";https://minfin.com.ua//cards/card/view/karta-dlya-moryakov-gold;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-moryakov-gold.png
"Карта для моряков ""Gold""";https://minfin.com.ua//cards/card/view/karta-dlya-moryakov-gold;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-moryakov-gold.png
"Карта для получения выплат ""Platinum""";https://minfin.com.ua//cards/card/view/karta-dlya-polucheniya-vy-plat-platinum;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-polucheniya-vy-plat-platinum.png
"Карта для получения выплат ""Gold""";https://minfin.com.ua//cards/card/view/karta-dlya-polucheniya-vy-plat-gold;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-polucheniya-vy-plat-gold.png
"Карта для получения выплат ""Classic""";https://minfin.com.ua//cards/card/view/karta-dlya-polucheniya-vy-plat-classic;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-polucheniya-vy-plat-classic.png
"Карта для собственных нужд ""Platinum""";https://minfin.com.ua//cards/card/view/karta-dlya-sobstvenny-h-nuzhd-platinum;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-sobstvenny-h-nuzhd-platinum.png
"Карта для собственных нужд ""Gold""";https://minfin.com.ua//cards/card/view/karta-dlya-sobstvenny-h-nuzhd-gold;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-sobstvenny-h-nuzhd-gold.png
"Карта для собственных нужд ""Classic""";https://minfin.com.ua//cards/card/view/karta-dlya-sobstvenny-h-nuzhd-classic;МТБ Банк;https://minfin.com.ua//cimgs/cards/karta-dlya-sobstvenny-h-nuzhd-classic.png
"Кредитная карта ""Benefit New""";https://minfin.com.ua//cards/card/view/kreditnaya-karta-benefit-new-1076466059;МТБ Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-benefit-new-1076466059.png
"Кредитная карта ""Benefit New""";https://minfin.com.ua//cards/card/view/kreditnaya-karta-benefit-new;МТБ Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-benefit-new.png
MasterCard Debit Unembossed;https://minfin.com.ua//cards/card/view/mastercard-debit-unembossed;Европромбанк;https://minfin.com.ua//cimgs/cards/mastercard-debit-unembossed.png
MasterCard Gold;https://minfin.com.ua//cards/card/view/mastercard-gold-50687194;Европромбанк;https://minfin.com.ua//cimgs/cards/mastercard-gold-50687194.png
MasterCard Gold;https://minfin.com.ua//cards/card/view/mastercard-gold-50687194;Европромбанк;https://minfin.com.ua//cimgs/cards/mastercard-gold-50687194.png
